location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"boone, nc",accident,2016-04-25,united states,fatal,airplane,piper,pa32,1.0,reciprocating,1.0,2.0,0.0,2.0,361158N,0813848W,no,boone,nc
"pompano beach, fl",accident,2016-04-25,united states,non-fatal,airplane,beech,76,2.0,reciprocating,0.0,3.0,0.0,3.0,261417N,0080530W,no,pompano beach,fl
"madison, ks",accident,2016-04-25,united states,non-fatal,airplane,grumman acft eng cor-schweizer,g 164,1.0,reciprocating,0.0,0.0,0.0,0.0,038640N,0096650W,no,madison,ks
"maryville, mo",accident,2016-04-26,united states,non-fatal,airplane,luscombe,8,1.0,reciprocating,0.0,0.0,1.0,0.0,402112N,0094550W,no,maryville,mo
"foley, al",accident,2016-04-26,united states,non-fatal,airplane,cessna,421,2.0,reciprocating,0.0,0.0,1.0,0.0,302459N,0087421W,no,foley,al
"durant, ok",accident,2016-04-27,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,335632N,0962340W,no,durant,ok
"hayward, ca",accident,2016-04-28,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,373932N,0122722W,no,hayward,ca
"osage city, ks",accident,2016-04-28,united states,non-fatal,airplane,boeing,a75n1 (pt17),1.0,reciprocating,0.0,0.0,0.0,0.0,383829N,0095489W,no,osage city,ks
"port alsworth, ak",accident,2016-04-29,united states,non-fatal,airplane,cessna,u206,1.0,reciprocating,0.0,0.0,0.0,0.0,601114N,0154216W,no,port alsworth,ak
"san francisco, ca",accident,2016-04-29,united states,non-fatal,airplane,bombardier inc,cl 600 2b19,2.0,turbo fan,0.0,0.0,0.0,0.0,037378N,1222232W,no,san francisco,ca
"fortville, in",accident,2016-04-29,united states,non-fatal,ultralight,buckeye industries inc,dream machine 582,1.0,reciprocating,0.0,1.0,0.0,1.0,039550N,0855052W,no,fortville,in
"san ardo, ca",accident,2016-04-29,united states,non-fatal,helicopter,bell,47g 5,1.0,reciprocating,0.0,0.0,1.0,0.0,036026N,1205244W,no,san ardo,ca
"san carlos, ca",incident,2016-04-29,united states,non-fatal,airplane,piper,pa28,1.0,reciprocating,0.0,0.0,0.0,0.0,373043N,1221458W,no,san carlos,ca
"henderson, nv",accident,2016-04-30,united states,fatal,airplane,extra flugzeugproduktions-und,ea 300/l,1.0,reciprocating,2.0,0.0,0.0,0.0,355847N,0115637W,no,henderson,nv
"calverton, ny",accident,2016-04-30,united states,non-fatal,airplane,universal stinson,108,1.0,reciprocating,0.0,0.0,0.0,0.0,405454N,0724731W,no,calverton,ny
"tyrone, ga",accident,2016-04-30,united states,non-fatal,airplane,champion,7bcm,1.0,reciprocating,0.0,0.0,0.0,0.0,332832N,0843334W,no,tyrone,ga
"palo alto, ca",accident,2016-04-30,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,372631N,0122835W,no,palo alto,ca
"keene, nh",accident,2016-04-30,united states,non-fatal,airplane,american champion aircraft,7ac,1.0,reciprocating,0.0,0.0,0.0,0.0,425354N,0721615W,no,keene,nh
"poplar grove, il",accident,2016-04-30,united states,non-fatal,airplane,cessna,140,1.0,reciprocating,0.0,0.0,0.0,0.0,421924N,0885536W,no,poplar grove,il
"killeen, tx",accident,2016-04-30,united states,non-fatal,airplane,piper,pa 31p,2.0,reciprocating,0.0,0.0,0.0,0.0,003159N,0974111W,no,killeen,tx
"boise, id",accident,2016-05-01,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,433352N,1161310W,no,boise,id
"plano, tx",accident,2016-05-01,united states,non-fatal,airplane,mooney,m20,1.0,reciprocating,0.0,0.0,2.0,0.0,033121N,0965012W,no,plano,tx
"harlingen, tx",accident,2016-05-01,united states,non-fatal,airplane,aviat aircraft inc,a-1c-180,1.0,reciprocating,0.0,0.0,0.0,0.0,261359N,0973855W,no,harlingen,tx
"ponca city, ok",accident,2016-05-01,united states,non-fatal,airplane,cessna,150f,1.0,reciprocating,0.0,1.0,0.0,1.0,364355N,0097559W,no,ponca city,ok
"mesa, az",accident,2016-05-02,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,331815N,1113923W,no,mesa,az
"syosset, ny",accident,2016-05-03,united states,fatal,airplane,beech,v35,1.0,reciprocating,3.0,0.0,0.0,0.0,040504N,0732925W,no,syosset,ny
"naknek, ak",accident,2016-05-03,united states,non-fatal,airplane,cessna,180,1.0,reciprocating,0.0,0.0,0.0,0.0,058446N,0157119W,no,naknek,ak
"durango, co",accident,2016-05-04,united states,non-fatal,airplane,rockwell international,112tc,1.0,reciprocating,0.0,0.0,0.0,0.0,371211N,0107529W,no,durango,co
"troutdale, or",accident,2016-05-04,united states,non-fatal,helicopter,robinson helicopter,r22,1.0,reciprocating,0.0,0.0,2.0,0.0,045330N,0122241W,no,troutdale,or
"arlington, wa",accident,2016-05-04,united states,non-fatal,weight-shift,airborne,redback,1.0,reciprocating,0.0,0.0,0.0,0.0,048939N,0122933W,no,arlington,wa
"iowa, la",accident,2016-05-04,united states,non-fatal,airplane,grumman acft eng cor-schweizer,g 164b,1.0,turbo prop,0.0,0.0,0.0,0.0,301328N,0009301W,no,iowa,la
"north little rock, ar",accident,2016-05-05,united states,fatal,airplane,cessna,310f,2.0,reciprocating,1.0,1.0,0.0,1.0,345018N,0921516W,no,north little rock,ar
"rush city, mn",accident,2016-05-05,united states,fatal,weight-shift,airborne windsports pty ltd,edge x classic,1.0,reciprocating,1.0,0.0,0.0,0.0,454150N,0092578W,no,rush city,mn
"gainesville, ga",accident,2016-05-05,united states,non-fatal,airplane,piper,pa32rt,1.0,reciprocating,0.0,0.0,0.0,0.0,341625N,0834953W,no,gainesville,ga
"mccarthy, ak",accident,2016-05-05,united states,non-fatal,airplane,piper,pa 18-150,1.0,reciprocating,0.0,0.0,1.0,0.0,006261N,1453149W,no,mccarthy,ak
"san bernardino, ca",accident,2016-05-06,united states,non-fatal,airplane,antonov,an2,1.0,reciprocating,0.0,0.0,0.0,0.0,034651N,1171257W,no,san bernardino,ca
"richmond, ky",accident,2016-05-06,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,373759N,0841958W,no,richmond,ky
"batavia, oh",accident,2016-05-06,united states,non-fatal,airplane,stinson,108,1.0,reciprocating,0.0,0.0,0.0,0.0,039440N,0841239W,no,batavia,oh
"jasper, tx",accident,2016-05-06,united states,non-fatal,airplane,cessna,t206,1.0,reciprocating,0.0,0.0,0.0,0.0,305312N,0009427W,no,jasper,tx
"surprise, az",accident,2016-05-07,united states,fatal,airplane,beech,g35,1.0,reciprocating,1.0,1.0,0.0,1.0,333825N,1122147W,no,surprise,az
"critz, va",accident,2016-05-07,united states,non-fatal,airplane,taylorcraft,bc12 d,1.0,reciprocating,0.0,1.0,0.0,1.0,363345N,0080810W,no,critz,va
"yucca valley, ca",accident,2016-05-07,united states,non-fatal,airplane,beech,c23,1.0,reciprocating,0.0,0.0,0.0,0.0,034747N,1162425W,no,yucca valley,ca
"pace, fl",accident,2016-05-07,united states,non-fatal,airplane,waco classic aircraft,ymf,1.0,reciprocating,0.0,0.0,0.0,0.0,304330N,0087127W,no,pace,fl
"bloomington, in",accident,2016-05-07,united states,non-fatal,airplane,cessna,tr182,1.0,reciprocating,0.0,0.0,0.0,0.0,039846N,0086370W,no,bloomington,in
"pomona, ca",accident,2016-05-08,united states,non-fatal,airplane,piper,pa28,1.0,reciprocating,0.0,1.0,0.0,1.0,034336N,1174726W,no,pomona,ca
"oberlin, ks",accident,2016-05-08,united states,non-fatal,airplane,air tractor inc,at 502,1.0,turbo prop,0.0,0.0,0.0,0.0,039502N,1003225W,no,oberlin,ks
"plainview, tx",accident,2016-05-09,united states,non-fatal,airplane,american champion aircraft,8gcbc,1.0,reciprocating,0.0,0.0,1.0,0.0,034103N,0101437W,no,plainview,tx
"groveland, ca",accident,2016-05-10,united states,non-fatal,airplane,beech,b24r,1.0,reciprocating,0.0,0.0,2.0,0.0,375132N,0120100W,no,groveland,ca
"akron, oh",accident,2016-05-10,united states,non-fatal,airplane,mooney aircraft corp.,m20k,1.0,reciprocating,0.0,0.0,0.0,0.0,405454N,0812637W,no,akron,oh
"dexter, mo",accident,2016-05-10,united states,non-fatal,airplane,beech,b100,2.0,turbo prop,0.0,0.0,0.0,0.0,364632N,0895628W,no,dexter,mo
"lyons point, la",accident,2016-05-11,united states,non-fatal,airplane,grumman acft eng cor-schweizer,g 164b,1.0,turbo prop,0.0,0.0,1.0,0.0,030527N,0092251W,no,lyons point,la
"simsbury, ct",accident,2016-05-11,united states,non-fatal,airplane,piper,pa 12,1.0,reciprocating,0.0,0.0,0.0,0.0,041556N,0724635W,no,simsbury,ct
"winslow, az",accident,2016-05-12,united states,non-fatal,airplane,boeing,b75n1,1.0,reciprocating,0.0,0.0,0.0,0.0,035118N,1104355W,no,winslow,az
"acampo, ca",accident,2016-05-12,united states,non-fatal,airplane,cessna,208b,1.0,turbo prop,0.0,0.0,1.0,0.0,381212N,1211519W,no,acampo,ca
"lee's summit, mo",accident,2016-05-12,united states,non-fatal,airplane,piper,pa 28r,1.0,reciprocating,0.0,0.0,0.0,0.0,385735N,0942217W,no,lee's summit,mo
"wickenburg, az",accident,2016-05-12,united states,non-fatal,airplane,piper,pa28,1.0,reciprocating,0.0,0.0,0.0,0.0,335816N,1124740W,no,wickenburg,az
"mojave, ca",accident,2016-05-13,united states,non-fatal,airplane,seguin,quickie,2.0,turbo jet,0.0,0.0,1.0,0.0,035332N,0011892W,no,mojave,ca
"california city, ca",accident,2016-05-13,united states,non-fatal,airplane,cessna,180,1.0,reciprocating,0.0,0.0,2.0,0.0,003594N,0011810W,no,california city,ca
"las vegas, nv",accident,2016-05-13,united states,non-fatal,airplane,cessna,172rg,1.0,reciprocating,0.0,0.0,0.0,0.0,361238N,1151137W,no,las vegas,nv
"gallatin, tn",accident,2016-05-13,united states,non-fatal,airplane,piper,pa 22,1.0,reciprocating,0.0,0.0,0.0,0.0,362224N,0862430W,no,gallatin,tn
"millersburg, oh",accident,2016-05-13,united states,non-fatal,airplane,waco,yks 7,1.0,reciprocating,0.0,0.0,0.0,0.0,403212N,0815721W,no,millersburg,oh
"crystal river, fl",accident,2016-05-13,united states,non-fatal,airplane,piper,pa-28,1.0,reciprocating,0.0,0.0,0.0,0.0,028524N,0823413W,no,crystal river,fl
"little rock, ar",accident,2016-05-13,united states,non-fatal,airplane,mooney,m20,1.0,reciprocating,0.0,0.0,0.0,0.0,034500N,0092158W,no,little rock,ar
"hedgesville, wv",accident,2016-05-14,united states,non-fatal,airplane,globe,gc 1b,1.0,reciprocating,0.0,1.0,1.0,1.0,393429N,0775817W,no,hedgesville,wv
"philadelphia, pa",accident,2016-05-14,united states,non-fatal,airplane,airbus industrie,a320 214,2.0,turbo fan,0.0,1.0,0.0,1.0,395228N,0751431W,no,philadelphia,pa
"west, tx",accident,2016-05-14,united states,fatal,airplane,air tractor inc,at 502,1.0,turbo prop,1.0,0.0,0.0,0.0,315027N,0097427W,no,west,tx
"williamsburg, va",accident,2016-05-14,united states,non-fatal,airplane,cessna,182p,1.0,reciprocating,0.0,0.0,0.0,0.0,371421N,0764258W,no,williamsburg,va
"wasilla, ak",accident,2016-05-14,united states,non-fatal,airplane,cessna,180,1.0,reciprocating,0.0,0.0,0.0,0.0,623422N,1493220W,no,wasilla,ak
"delano, ca",accident,2016-05-14,united states,non-fatal,airplane,beech,c23,1.0,reciprocating,0.0,0.0,1.0,0.0,354321N,1191339W,no,delano,ca
"shawnee, ok",accident,2016-05-14,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,352126N,0965634W,no,shawnee,ok
"south st paul, mn",accident,2016-05-14,united states,non-fatal,airplane,cirrus design corp,sr20,1.0,reciprocating,0.0,0.0,0.0,0.0,044519N,0093151W,no,south st paul,mn
"st. george, ut",accident,2016-05-15,united states,non-fatal,airplane,cessna,180,1.0,reciprocating,0.0,0.0,0.0,0.0,037213N,1133038W,no,st. george,ut
"pahokee, fl",accident,2016-05-15,united states,non-fatal,airplane,cirrus design corp,sr22,1.0,reciprocating,0.0,0.0,0.0,0.0,026473N,0804136W,no,pahokee,fl
"alpine, tx",accident,2016-05-15,united states,non-fatal,airplane,piper,pa 32r,1.0,reciprocating,0.0,0.0,0.0,0.0,030233N,0103411W,no,alpine,tx
"tupelo, ms",accident,2016-05-16,united states,fatal,airplane,beech,a36tc,1.0,reciprocating,4.0,0.0,0.0,0.0,341728N,0884555W,no,tupelo,ms
"homestead, fl",accident,2016-05-16,united states,non-fatal,airplane,piper,pa28,1.0,reciprocating,0.0,1.0,1.0,1.0,252953N,0803330W,no,homestead,fl
"lake city, fl",accident,2016-05-16,united states,non-fatal,airplane,cessna,r182,1.0,reciprocating,0.0,0.0,0.0,0.0,301055N,0823437W,no,lake city,fl
"new roads, la",accident,2016-05-16,united states,non-fatal,airplane,cessna,t206h,1.0,reciprocating,0.0,0.0,0.0,0.0,030436N,0912843W,no,new roads,la
"wantage, nj",accident,2016-05-17,united states,fatal,airplane,cessna,210,1.0,reciprocating,1.0,0.0,0.0,0.0,411736N,0074357W,no,wantage,nj
"mesa, az",accident,2016-05-18,united states,fatal,airplane,north american,at 6,1.0,reciprocating,2.0,0.0,0.0,0.0,332739N,1114342W,no,mesa,az
"sheridan lake, co",accident,2016-05-18,united states,fatal,airplane,cessna,p210n,1.0,reciprocating,1.0,0.0,0.0,0.0,382942N,1021724W,no,sheridan lake,co
"carbondale, il",accident,2016-05-18,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,374644N,0891454W,no,carbondale,il
"sevierville, tn",accident,2016-05-19,united states,fatal,airplane,beech,d35,1.0,reciprocating,1.0,0.0,0.0,0.0,355127N,0833111W,no,sevierville,tn
"redding, ca",accident,2016-05-19,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,0.0,0.0,0.0,403411N,1222424W,no,redding,ca
"blue bell, pa",accident,2016-05-19,united states,non-fatal,airplane,luscombe,8,1.0,reciprocating,0.0,0.0,0.0,0.0,040819N,0751549W,no,blue bell,pa
"batavia, ny",accident,2016-05-19,united states,non-fatal,airplane,piper,pa 28-180,1.0,reciprocating,0.0,0.0,0.0,0.0,043145N,0078954W,no,batavia,ny
"nikolai creek, ak",accident,2016-05-19,united states,non-fatal,airplane,piper,pa 20,1.0,reciprocating,0.0,0.0,0.0,0.0,061616N,1512227W,no,nikolai creek,ak
"vinton, ia",accident,2016-05-19,united states,non-fatal,airplane,aeronca,11ac,1.0,reciprocating,0.0,0.0,0.0,0.0,042137N,0092123W,no,vinton,ia
"west des moines, ia",accident,2016-05-19,united states,non-fatal,airplane,waco classic aircraft corp,ymf,1.0,reciprocating,0.0,1.0,1.0,1.0,413134N,0934428W,no,west des moines,ia
"newport news, va",accident,2016-05-19,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,037740N,0762945W,no,newport news,va
"el cajon, ca",accident,2016-05-20,united states,non-fatal,airplane,boeing,b75,1.0,reciprocating,0.0,0.0,0.0,0.0,324938N,1165822W,no,el cajon,ca
"westminster, md",accident,2016-05-20,united states,non-fatal,airplane,piper,pa 18a,1.0,reciprocating,0.0,0.0,0.0,0.0,039281N,0007711W,no,westminster,md
"calhan, co",accident,2016-05-21,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,0.0,0.0,0.0,039244N,1041735W,no,calhan,co
"santa monica, ca",accident,2016-05-22,united states,non-fatal,airplane,czech aircraft works spol sro,sportcruiser,1.0,reciprocating,0.0,0.0,0.0,0.0,034116N,1182643W,no,santa monica,ca
"marine city, mi",accident,2016-05-22,united states,non-fatal,airplane,beech,c24r,1.0,reciprocating,0.0,0.0,0.0,0.0,424317N,0823547W,no,marine city,mi
"griffin, ga",accident,2016-05-22,united states,non-fatal,airplane,beech,a36,1.0,reciprocating,0.0,0.0,0.0,0.0,331518N,0084241W,no,griffin,ga
"seward, ak",accident,2016-05-22,united states,non-fatal,airplane,piper,pa18,1.0,reciprocating,0.0,0.0,0.0,0.0,060736N,1492512W,no,seward,ak
"hanapepe, hi",accident,2016-05-23,united states,fatal,airplane,cessna,182,1.0,reciprocating,5.0,0.0,0.0,0.0,215345N,1593559W,no,hanapepe,hi
"melrose, fl",accident,2016-05-23,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,1.0,0.0,029436N,0815850W,no,melrose,fl
"waianae, hi",accident,2016-05-23,united states,non-fatal,airplane,beech,c23,1.0,reciprocating,0.0,0.0,2.0,0.0,212749N,1581255W,no,waianae,hi
"chinita bay, ak",accident,2016-05-23,united states,non-fatal,airplane,cessna,u206g,1.0,reciprocating,0.0,0.0,0.0,0.0,603937N,0150541W,no,chinita bay,ak
"lodi, ca",accident,2016-05-23,united states,non-fatal,airplane,rans,s 5,1.0,reciprocating,0.0,0.0,1.0,0.0,038748N,1211012W,no,lodi,ca
"texarkana, ar",accident,2016-05-24,united states,non-fatal,airplane,cessna,501,2.0,turbo fan,0.0,0.0,3.0,0.0,332630N,0094216W,no,texarkana,ar
"cozad, ne",accident,2016-05-24,united states,non-fatal,airplane,piper,pa 18-150,1.0,reciprocating,0.0,0.0,1.0,0.0,405652N,0995551W,no,cozad,ne
"rhoadesville, va",accident,2016-05-24,united states,fatal,airplane,jihlavan airplanes sro,kp 5 asa,1.0,reciprocating,2.0,0.0,0.0,0.0,381555N,0775128W,no,rhoadesville,va
"reno, nv",accident,2016-05-24,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,0.0,0.0,0.0,391724N,1193036W,no,reno,nv
"anchorage, ak",accident,2016-05-25,united states,non-fatal,airplane,cessna,a185,1.0,reciprocating,0.0,0.0,0.0,0.0,611114N,1495757W,no,anchorage,ak
"brookings, or",accident,2016-05-25,united states,non-fatal,airplane,champion,7eca,1.0,reciprocating,0.0,1.0,0.0,1.0,042416N,1241714W,no,brookings,or
"new york, ny",accident,2016-05-27,united states,fatal,airplane,republic,p 47d,1.0,reciprocating,1.0,0.0,0.0,0.0,404730N,0073597W,no,new york,ny
"sioux falls, sd",accident,2016-05-27,united states,non-fatal,airplane,cessna,402b,2.0,reciprocating,0.0,0.0,0.0,0.0,433458N,0964434W,no,sioux falls,sd
"albuquerque, nm",accident,2016-05-27,united states,non-fatal,airplane,cessna,150,1.0,reciprocating,0.0,0.0,1.0,0.0,035114N,1063516W,no,albuquerque,nm
"palmer, ak",accident,2016-05-27,united states,non-fatal,airplane,piper,pa 18,1.0,reciprocating,0.0,0.0,0.0,0.0,611047N,1484135W,no,palmer,ak
"groveland, ca",accident,2016-05-27,united states,non-fatal,airplane,champion,aeronca 7ac,1.0,reciprocating,0.0,0.0,1.0,0.0,375145N,1201046W,no,groveland,ca
"jacksonville, fl",accident,2016-05-27,united states,non-fatal,airplane,diamond aircraft ind inc,da 40,1.0,reciprocating,0.0,0.0,0.0,0.0,301640N,0814821W,no,jacksonville,fl
"midland, tx",accident,2016-05-28,united states,non-fatal,airplane,luscombe,8,1.0,reciprocating,0.0,0.0,1.0,0.0,315626N,1021155W,no,midland,tx
"spring branch, tx",accident,2016-05-28,united states,non-fatal,helicopter,robinson helicopter,r44,1.0,reciprocating,0.0,0.0,0.0,0.0,029309N,0981438W,no,spring branch,tx
"avalon, ca",accident,2016-05-28,united states,fatal,airplane,cessna,172n,1.0,reciprocating,2.0,0.0,0.0,0.0,332411N,1182434W,no,avalon,ca
"pine bluff, ar",accident,2016-05-29,united states,non-fatal,airplane,cessna,177,1.0,reciprocating,0.0,0.0,2.0,0.0,341028N,0091568W,no,pine bluff,ar
"warner, nh",accident,2016-05-29,united states,non-fatal,airplane,american champion aircraft,7gcbc,1.0,reciprocating,0.0,1.0,1.0,1.0,431513N,0715152W,no,warner,nh
"mack, co",accident,2016-05-29,united states,non-fatal,airplane,rainbow sky reach (pty) ltd,bushcat,1.0,reciprocating,0.0,0.0,0.0,0.0,039166N,1085152W,no,mack,co
"shulin lake, ak",accident,2016-05-29,united states,non-fatal,airplane,piper,pa 18,1.0,reciprocating,0.0,0.0,2.0,0.0,062451N,1502927W,no,shulin lake,ak
"laurel, mt",accident,2016-05-30,united states,non-fatal,airplane,piper,pa 18-150,1.0,reciprocating,0.0,0.0,1.0,0.0,454216N,1084534W,no,laurel,mt
"saginaw, mi",accident,2016-05-30,united states,non-fatal,airplane,cessna,170,1.0,reciprocating,0.0,0.0,0.0,0.0,433215N,0084428W,no,saginaw,mi
"clintonville, wi",accident,2016-05-30,united states,non-fatal,airplane,beech,a23-24,1.0,reciprocating,0.0,0.0,0.0,0.0,443648N,0884351W,no,clintonville,wi
"elberta, al",accident,2016-05-31,united states,non-fatal,airplane,american legend aircraft co,al3,1.0,reciprocating,0.0,0.0,0.0,0.0,302528N,0087327W,no,elberta,al
"wadsworth, oh",accident,2016-05-31,united states,non-fatal,airplane,piper,pa24,1.0,reciprocating,0.0,0.0,0.0,0.0,004109N,0814518W,no,wadsworth,oh
"lumberton, nj",accident,2016-05-31,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,395634N,0745045W,no,lumberton,nj
"elk river, id",accident,2016-06-01,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,0.0,1.0,0.0,464729N,1161033W,no,elk river,id
"toughkenamon, pa",accident,2016-06-01,united states,non-fatal,airplane,aeronca,7ac,1.0,reciprocating,0.0,0.0,2.0,0.0,394950N,0754650W,no,toughkenamon,pa
"nicolaus, ca",accident,2016-06-01,united states,non-fatal,airplane,air tractor inc,at 502,1.0,turbo prop,0.0,0.0,0.0,0.0,385440N,1213334W,no,nicolaus,ca
"penwell, tx",accident,2016-06-02,united states,fatal,airplane,cessna,150,1.0,reciprocating,1.0,0.0,0.0,0.0,314452N,1023253W,no,penwell,tx
"las vegas, nv",accident,2016-06-02,united states,non-fatal,helicopter,robinson helicopter,r44,1.0,reciprocating,0.0,0.0,0.0,0.0,361233N,1151143W,no,las vegas,nv
"seattle, wa",accident,2016-06-02,united states,non-fatal,airplane,piper,pa46,1.0,turbo prop,0.0,0.0,0.0,0.0,473148N,0122187W,no,seattle,wa
"williamstown, nj",accident,2016-06-04,united states,non-fatal,airplane,mooney,m20c,1.0,reciprocating,0.0,0.0,0.0,0.0,393746N,0075129W,no,williamstown,nj
"loda, il",accident,2016-06-04,united states,non-fatal,airplane,piper,pa 24,1.0,reciprocating,0.0,0.0,1.0,0.0,403330N,0008842W,no,loda,il
"black diamond, wa",accident,2016-06-04,united states,non-fatal,airplane,american champion aircraft,8kcab,1.0,reciprocating,0.0,0.0,1.0,0.0,047161N,0012244W,no,black diamond,wa
"fairfield, nj",accident,2016-06-05,united states,non-fatal,airplane,beech,f33a,1.0,reciprocating,0.0,0.0,0.0,0.0,405231N,0741653W,no,fairfield,nj
"ferndale, mt",accident,2016-06-05,united states,non-fatal,airplane,bellanca,7gcbc,1.0,reciprocating,0.0,0.0,0.0,0.0,048338N,0011404W,no,ferndale,mt
"hamilton, mt",accident,2016-06-05,united states,non-fatal,airplane,maule,m5,1.0,reciprocating,0.0,0.0,0.0,0.0,461521N,0114732W,no,hamilton,mt
"lone pine, ca",accident,2016-06-05,united states,non-fatal,airplane,american aviation,aa 1a,1.0,reciprocating,0.0,0.0,0.0,0.0,364826N,1174654W,no,lone pine,ca
"henderson, ar",accident,2016-06-05,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,036180N,0921259W,no,henderson,ar
"fort dodge, ia",accident,2016-06-05,united states,non-fatal,airplane,cessna,208,1.0,turbo prop,0.0,0.0,0.0,0.0,042339N,0094110W,no,fort dodge,ia
"las vegas, nv",accident,2016-06-05,united states,non-fatal,airplane,boeing,737-932er,2.0,turbo fan,0.0,1.0,0.0,1.0,036448N,0011598W,no,las vegas,nv
"de smet, id",accident,2016-06-06,united states,fatal,airplane,rockwell,s2r,1.0,turbo prop,1.0,0.0,0.0,0.0,047854N,1165914W,no,de smet,id
"fairbanks, ak",accident,2016-06-06,united states,non-fatal,airplane,air tractor inc,at 802,1.0,turbo prop,0.0,0.0,0.0,0.0,645751N,1482442W,no,fairbanks,ak
"ropesville, tx",accident,2016-06-06,united states,non-fatal,airplane,air tractor,at-502,1.0,turbo prop,0.0,1.0,0.0,1.0,332448N,0102915W,no,ropesville,tx
"arlington, wa",accident,2016-06-06,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,048939N,0122933W,no,arlington,wa
"beaumont, tx",accident,2016-06-07,united states,non-fatal,helicopter,robinson helicopter co,r66,1.0,reciprocating,0.0,0.0,0.0,0.0,003007N,0941038W,no,beaumont,tx
"cahokia/st. louis, il",accident,2016-06-07,united states,non-fatal,helicopter,robinson helicopter,r22,1.0,reciprocating,0.0,0.0,0.0,0.0,383413N,0090918W,no,cahokia/st. louis,il
"chireno, tx",accident,2016-06-07,united states,non-fatal,helicopter,robinson helicopter company,r44,1.0,reciprocating,0.0,0.0,0.0,0.0,031341N,0942021W,no,chireno,tx
"pine bluff, ar",accident,2016-06-08,united states,fatal,airplane,cessna,175,1.0,reciprocating,1.0,0.0,1.0,0.0,034658N,0921238W,no,pine bluff,ar
"rochester, wi",accident,2016-06-08,united states,non-fatal,airplane,aeronca,7bcm,1.0,reciprocating,0.0,0.0,0.0,0.0,042454N,0088154W,no,rochester,wi
"fredericksburg, va",accident,2016-06-08,united states,non-fatal,airplane,bellanca,17 30,1.0,reciprocating,0.0,0.0,0.0,0.0,381558N,0772658W,no,fredericksburg,va
"thomson, ga",accident,2016-06-08,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,333145N,0823038W,no,thomson,ga
"urbana, oh",accident,2016-06-08,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,040749N,0834516W,no,urbana,oh
"cornelia, ga",accident,2016-06-08,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,342959N,0833324W,no,cornelia,ga
"houston, tx",accident,2016-06-09,united states,fatal,airplane,cirrus design corp,sr20,1.0,reciprocating,3.0,0.0,0.0,0.0,293936N,0951722W,no,houston,tx
"wishek, nd",accident,2016-06-09,united states,fatal,airplane,piper,pa 28-140,1.0,reciprocating,3.0,0.0,0.0,0.0,461441N,0993241W,no,wishek,nd
"laureles, tx",accident,2016-06-09,united states,non-fatal,helicopter,bell,47g 5,1.0,reciprocating,0.0,0.0,1.0,0.0,026633N,0972939W,no,laureles,tx
"stanley, id",accident,2016-06-09,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,0.0,0.0,0.0,442453N,0115199W,no,stanley,id
"rowesville, sc",accident,2016-06-09,united states,non-fatal,airplane,piper,pa 28,1.0,reciprocating,0.0,0.0,0.0,0.0,332451N,0804841W,no,rowesville,sc
"lincoln park, nj",accident,2016-06-09,united states,non-fatal,airplane,piper,pa 32,1.0,reciprocating,0.0,0.0,0.0,0.0,405651N,0741852W,no,lincoln park,nj
"moundsville, wv",accident,2016-06-09,united states,non-fatal,airplane,costruzioni aeronautiche tecna,p2002 sierra,1.0,reciprocating,0.0,0.0,1.0,0.0,395251N,0080448W,no,moundsville,wv
"buena vista, co",accident,2016-06-09,united states,non-fatal,airplane,cessna,t210,1.0,reciprocating,0.0,0.0,0.0,0.0,038490N,0106718W,no,buena vista,co
